fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0010570824524312897,0.9906067182321004
0.0,0.03699788583509514,0.9652575508246891
0.001,0.03699788583509514,0.9647269344561876
0.001,0.040169133192389,0.9640994158099253
0.002,0.040169133192389,0.9637248678221443
0.002,0.05391120507399577,0.958924183286742
0.004,0.05391120507399577,0.9581092083309066
0.004,0.06553911205073996,0.9548205660220717
0.005,0.06553911205073996,0.9548156412623348
0.005,0.07293868921775898,0.9536411884675957
0.006,0.07293868921775898,0.9529273226337565
0.006,0.080338266384778,0.9510002763960276
0.008,0.080338266384778,0.9507131268316219
0.008,0.113107822410148,0.9431948382581534
0.009,0.113107822410148,0.9427577672373915
0.009,0.11416490486257928,0.9426381112789248
0.009,0.11627906976744186,0.9426085832664083
0.009,0.13953488372093023,0.9372997618904899
0.01,0.13953488372093023,0.9372792166128755
0.01,0.16701902748414377,0.9292419509103492
0.011,0.16701902748414377,0.9289481620533147
0.011,0.1744186046511628,0.9278715444662688
0.012,0.1744186046511628,0.92764102006393
0.012,0.1839323467230444,0.9253633282699139
0.013,0.1839323467230444,0.9251597604885299
0.013,0.1945031712473573,0.9217118336892413
0.016,0.1945031712473573,0.9214000395900533
0.016,0.21141649048625794,0.9186944298902168
0.018,0.21141649048625794,0.9185988390086054
0.018,0.2156448202959831,0.917771775111239
0.019,0.2156448202959831,0.9175531941168462
0.019,0.23784355179704017,0.9111439230790517
0.02,0.23784355179704017,0.9110636648411051
0.02,0.24207188160676532,0.9105336306104937
0.021,0.24207188160676532,0.9103676805160668
0.021,0.2758985200845666,0.9027574622870224
0.022,0.2758985200845666,0.9025794749722825
0.022,0.28858350951374206,0.9001657609793983
0.023,0.28858350951374206,0.899922888373544
0.023,0.2949260042283298,0.8964857821550415
0.024,0.2949260042283298,0.8962383636507787
0.024,0.30021141649048627,0.8950122209398534
0.026,0.30021141649048627,0.8944101507014234
0.026,0.3097251585623679,0.8919505769430093
0.027,0.3097251585623679,0.8911511088888946
0.027,0.3150105708245243,0.8899970103874595
0.028,0.3150105708245243,0.8899166771842972
0.028,0.32346723044397463,0.8875297038518979
0.029,0.32346723044397463,0.8874899508915948
0.029,0.3372093023255814,0.8845391100357347
0.03,0.3372093023255814,0.884156721716143
0.03,0.3382663847780127,0.8839512539788754
0.031,0.3382663847780127,0.8837488566682666
0.031,0.3498942917547569,0.8822303617950508
0.032,0.3498942917547569,0.8819822280551701
0.032,0.35095137420718814,0.881942424644199
0.033,0.35095137420718814,0.8817227134389231
0.033,0.36046511627906974,0.8805936377565092
0.035,0.36046511627906974,0.8802354265455967
0.035,0.38477801268498946,0.8752524699388358
0.036,0.38477801268498946,0.8751853101870157
0.036,0.40063424947145876,0.8706489803852022
0.037,0.40063424947145876,0.8706039835046007
0.037,0.4154334038054968,0.8675004149557514
0.038,0.4154334038054968,0.8673275949179707
0.038,0.42283298097251587,0.8663618903643521
0.039,0.42283298097251587,0.8663226116184204
0.039,0.42389006342494717,0.8656080420537734
0.04,0.42389006342494717,0.8655946694685568
0.04,0.4260042283298097,0.864943353860503
0.041,0.4260042283298097,0.8648575443017174
0.041,0.4312896405919662,0.8634575145985047
0.042,0.4312896405919662,0.8633203137433446
0.042,0.43868921775898523,0.8623947871943842
0.043,0.43868921775898523,0.8621483838581626
0.043,0.4418604651162791,0.8614662520659063
0.044,0.4418604651162791,0.8613609277078517
0.044,0.45454545454545453,0.8598226920764372
0.045,0.45454545454545453,0.8588414830951605
0.045,0.4619450317124736,0.8583673612141259
0.046,0.4619450317124736,0.8583294759994252
0.046,0.4682875264270613,0.8566878067896481
0.047,0.4682875264270613,0.8564337469404318
0.047,0.4799154334038055,0.8547898953634167
0.049,0.4799154334038055,0.8543231048897219
0.049,0.48414376321353064,0.8537001305768892
0.05,0.48414376321353064,0.8534779914143099
0.05,0.48625792811839325,0.8533468761939046
0.051,0.48625792811839325,0.8533424724648917
0.051,0.4894291754756871,0.852662007109253
0.052,0.4894291754756871,0.8520732912632556
0.052,0.4989429175475687,0.8503267679559159
0.053,0.4989429175475687,0.850097216018527
0.053,0.5052854122621564,0.8485280862627445
0.053,0.507399577167019,0.8483747644354063
0.053,0.5084566596194503,0.8483005268322514
0.054,0.5084566596194503,0.8480119329844472
0.054,0.5116279069767442,0.8473973289021167
0.056,0.5116279069767442,0.8473570227730798
0.056,0.5306553911205074,0.8431764551668329
0.058,0.5306553911205074,0.8426925336576286
0.058,0.5317124735729387,0.842490952845942
0.059,0.5317124735729387,0.8420622812283333
0.059,0.5359408033826638,0.8410550442767507
0.06,0.5359408033826638,0.8410095651610635
0.06,0.540169133192389,0.8402920314161364
0.061,0.540169133192389,0.8398918082820611
0.061,0.5422832980972516,0.839479234582054
0.062,0.5422832980972516,0.8393822099229102
0.062,0.5486257928118393,0.8380346218712776
0.063,0.5486257928118393,0.8375646668428848
0.063,0.5602536997885835,0.8361471148131122
0.064,0.5602536997885835,0.8358674911653837
0.064,0.5782241014799154,0.8326107644727507
0.065,0.5782241014799154,0.8318607412167462
0.065,0.5866807610993657,0.8302671364783797
0.066,0.5866807610993657,0.8296295398774399
0.066,0.5961945031712473,0.8245790437425642
0.067,0.5961945031712473,0.824523636389889
0.067,0.5972515856236786,0.8237528882556985
0.068,0.5972515856236786,0.8234335026859435
0.068,0.5993657505285412,0.8231468867800252
0.069,0.5993657505285412,0.8230168223376069
0.069,0.6088794926004228,0.8208557629210188
0.071,0.6088794926004228,0.8196911740945343
0.071,0.6109936575052854,0.8192021081692792
0.072,0.6109936575052854,0.8191617355111721
0.072,0.6131078224101479,0.8183904172293126
0.073,0.6131078224101479,0.8180473027135206
0.073,0.6247357293868921,0.8155864385217502
0.074,0.6247357293868921,0.81556715794746
0.074,0.6289640591966174,0.8143003048767362
0.075,0.6289640591966174,0.8141299769819229
0.075,0.6321353065539113,0.8134988773363613
0.076,0.6321353065539113,0.8132797255851937
0.076,0.6405919661733616,0.8097969254894114
0.077,0.6405919661733616,0.8096728160175732
0.077,0.642706131078224,0.8093539931955143
0.078,0.642706131078224,0.8089850161901013
0.078,0.6543340380549683,0.8042433219000207
0.079,0.6543340380549683,0.8041822024175428
0.079,0.6564482029598309,0.802530211872799
0.081,0.6564482029598309,0.8019429296935315
0.081,0.6680761099365751,0.7985804508214149
0.082,0.6680761099365751,0.7982736645819917
0.082,0.6723044397463002,0.7953980811533075
0.083,0.6723044397463002,0.7952792623762397
0.083,0.6807610993657506,0.7922567624494792
