n_bins,occupied_bins,n_matched,n_excluded,shortfall_bins,auc,cv_auc,cv_std
4,16,4728,0,0,0.7000467082944096,0.7078759819046951,0.003581444241913685
8,64,4728,0,0,0.6782279007191736,0.6676309755512273,0.011456780266136304
16,255,4728,0,10,0.6431408087462958,0.6430593898547092,0.010846647002436649
24,572,4728,0,31,0.6541787162147061,0.6369256283957105,0.003924112293832828
32,1002,4728,0,81,0.6554184973785249,0.6374111208001764,0.016343849021516716
