feature,importance_mean,importance_std
slope,0.09062629999999991,0.00479946092910444
elevation,0.08662469999999989,0.006596840274707295
landcover,0.023926399999999924,0.003906309107072821
twi,0.005204099999999945,0.0019765609249400703
aspect,0.002584199999999892,0.0018516592451096236
profile_curvature,1.2499999999915357e-05,0.002438166821610025
